id	name	full_time_course	time_18h	time_48h
ENSG00000000419	DPM1	non-DE	non-DE	non-DE
ENSG00000000457	SCYL3	18 h	All	non-DE
ENSG00000000460	C1orf112	18 & 48 h	All	All
ENSG00000000938	FGR	18 & 48 h	All	All
ENSG00000000971	CFH	18 & 48 h	All	MTB
ENSG00000001036	FUCA2	18 h	All	non-DE
ENSG00000001084	GCLC	18 & 48 h	All	All
ENSG00000001167	NFYA	18 & 48 h	All	All
ENSG00000001460	STPG1	48 h	non-DE	All
ENSG00000001461	NIPAL3	non-DE	Yers-Salm	non-DE
ENSG00000001497	LAS1L	18 h	All	non-DE
ENSG00000001561	ENPP4	non-DE	non-DE	non-DE
ENSG00000001617	SEMA3F	non-DE	non-DE	non-DE
ENSG00000001629	ANKIB1	Yers-Salm	non-DE	non-DE
ENSG00000001630	CYP51A1	non-DE	non-DE	non-DE
ENSG00000001631	KRIT1	non-DE	Yers-Salm	non-DE
ENSG00000002016	RAD52	non-DE	non-DE	non-DE
ENSG00000002330	BAD	non-DE	non-DE	non-DE
ENSG00000002549	LAP3	48 h	non-DE	All
ENSG00000002586	CD99	18 & 48 h	non-DE	All
ENSG00000002587	HS3ST1	non-DE	non-DE	non-DE
ENSG00000002726	AOC1	18 & 48 h	All	All
ENSG00000002822	MAD1L1	48 h	Yers-Salm	All
ENSG00000002834	LASP1	Yers-Salm	non-DE	non-DE
ENSG00000002919	SNX11	48 h	non-DE	All
ENSG00000002933	TMEM176A	non-DE	non-DE	non-DE
ENSG00000003056	M6PR	non-DE	Yers-Salm	non-DE
ENSG00000003147	ICA1	48 h	non-DE	Yers-Salm
ENSG00000003393	ALS2	non-DE	Yers-Salm	non-DE
ENSG00000003400	CASP10	48 h	non-DE	All
ENSG00000003402	CFLAR	All	All	All
ENSG00000003436	TFPI	18 h	All	Yers-Salm
ENSG00000003509	NDUFAF7	non-DE	non-DE	non-DE
ENSG00000003756	RBM5	18 h	All	MTB
ENSG00000003987	MTMR7	non-DE	non-DE	non-DE
ENSG00000004059	ARF5	non-DE	non-DE	All
ENSG00000004139	SARM1	non-DE	non-DE	Yers-Salm
ENSG00000004142	POLDIP2	18 h	All	non-DE
ENSG00000004399	PLXND1	All	MTB	MTB
ENSG00000004455	AK2	18 h	All	non-DE
ENSG00000004468	CD38	18 & 48 h	All	All
ENSG00000004478	FKBP4	48 h	Yers-Salm	All
ENSG00000004487	KDM1A	non-DE	non-DE	Yers-Salm
ENSG00000004534	RBM6	non-DE	non-DE	non-DE
ENSG00000004660	CAMKK1	18 h	Virulent	Yers-Salm
ENSG00000004700	RECQL	Yers-Salm	non-DE	non-DE
ENSG00000004766	CCDC132	non-DE	Yers-Salm	non-DE
ENSG00000004777	ARHGAP33	48 h	non-DE	All
ENSG00000004779	NDUFAB1	18 h	Virulent	non-DE
ENSG00000004799	PDK4	48 h	Yers-Salm	All
ENSG00000004809	SLC22A16	Yers-Salm	non-DE	non-DE
ENSG00000004838	ZMYND10	18 & 48 h	Yers-Salm	All
ENSG00000004846	ABCB5	Yers-Salm	non-DE	non-DE
ENSG00000004864	SLC25A13	non-DE	Yers-Salm	non-DE
ENSG00000004866	ST7	18 h	Virulent	non-DE
ENSG00000004897	CDC27	Yers-Salm	non-DE	non-DE
ENSG00000004961	HCCS	non-DE	Yers-Salm	non-DE
ENSG00000004975	DVL2	18 & 48 h	All	All
ENSG00000005007	UPF1	non-DE	non-DE	non-DE
ENSG00000005020	SKAP2	non-DE	non-DE	non-DE
ENSG00000005022	SLC25A5	18 & 48 h	All	All
ENSG00000005059	CCDC109B	18 h	All	non-DE
ENSG00000005075	POLR2J	non-DE	Yers-Salm	non-DE
ENSG00000005100	DHX33	18 h	Yers-Salm	Yers-Salm
