ind	bact	time	rin	mol
M372	none	4	9.8	37.9
M375	Smeg	48	9.3	28.5
M373	GC	18	9	48
M374	BCG	48	8.8	24.8
M375	none	4	8.8	26.6
M372	Smeg	48	9.5	31.4
M373	Yers	18	9.9	49.6
M377	BCG	48	9.5	23.4
M377	Yers	18	9.9	35.9
M376	Rv	4	9.7	20.8
M374	Rv	4	7.2	11.6
M377	GC	18	9.6	12.6
M372	BCG	18	10	41.3
M372	Yers	18	10	47.6
M373	Rv+	48	8.5	25.2
M377	Rv+	48	8	19.6
M376	BCG	18	8.7	45.9
M375	Staph	4	8.8	19.3
M374	none	48	7.3	16.1
M373	Staph	4	8.9	35.3
M374	Yers	4	8.5	14.9
M377	Salm	4	10	17.9
M375	Yers	18	9.7	22.6
M376	none	48	8	22.7
M375	Staph	18	5.3	32
M373	Salm	48	8.2	18.1
M372	Rv+	48	7.6	24.7
M375	Salm	48	9.6	20.1
M374	Salm	4	3.6	19
M376	Rv+	48	9.1	17.5
M372	GC	4	8.7	17.2
M377	Smeg	18	7.5	17.8
M377	Yers	4	7.5	18.9
M373	Staph	18	6.3	11.4
M372	Smeg	18	8.1	10.4
M376	GC	4	8.8	13.7
M377	GC	48	9.3	20
M377	Salm	18	9.4	22.4
M375	Yers	48	9.3	50.2
M375	BCG	4	8.8	37
M373	Rv	18	9.3	26
M374	Smeg	4	2.6	8.2
M376	Rv	18	8.5	72.4
M372	GC	48	9.7	52.6
M373	Salm	18	9.2	19.4
M373	Yers	48	9.3	36
M372	BCG	4	10	34.2
M376	Smeg	4	5.4	28.4
M375	Rv+	4	8.6	25.1
M376	BCG	48	9.5	51.3
M377	Staph	4	8.3	48.9
M376	GC	18	8.3	48.8
M374	Staph	4	7.9	61.7
M372	Rv	48	9.5	74
M377	Rv	48	8.3	67.5
M375	none	18	7.2	22.2
M373	none	18	5.1	57.7
M372	GC	18	9.4	57.7
M374	Rv+	4	8.5	65.5
M372	BCG	48	9.2	60.3
M377	Rv+	4	9.6	81.2
M375	Rv	18	7.8	72.9
M376	Salm	4	9.4	55.9
M374	Rv	18	7.9	120.2
M376	GC	48	9.2	71.9
M374	GC	48	5.7	27.1
M372	Staph	18	9.7	65.7
M372	none	48	8	58.9
M375	none	48	2.1	47
M373	Rv+	4	9.2	81.7
M377	Staph	18	8.2	93.9
M373	Salm	4	8.8	75.9
M372	Salm	18	10	8.5
M377	Rv+	18	9.1	14.1
M372	Smeg	4	10	19.6
M372	Yers	48	9.7	22.2
M375	Smeg	4	8.5	8.4
M376	Salm	18	9.4	31.3
M373	Rv+	18	9.3	22.8
M377	Yers	48	8.9	31
M376	none	4	9.7	19.7
M374	none	4	8.4	19.8
M373	BCG	48	8.4	26.2
M375	BCG	48	8.4	37.6
M377	Rv	4	9	13.5
M373	Smeg	48	7.3	46.3
M372	Rv	4	9.7	20.9
M372	Salm	4	9.5	75.6
M374	GC	18	4.1	33.2
M376	Staph	18	7.4	30.2
M375	Salm	4	6.9	9.7
M376	Smeg	48	9.2	27.3
M377	none	48	6.6	17.4
M374	Staph	18	3.1	13
M375	GC	18	6.7	9.7
M373	none	48	4.6	11
M376	Staph	4	7	46.8
M376	Salm	48	9.4	46.7
M374	BCG	4	7.3	1.5
M375	Rv+	48	3.9	41
M372	Staph	4	9.4	39.6
M372	none	18	8.4	31.4
M374	Salm	48	9	44.1
M377	BCG	4	8.4	83.9
M373	Smeg	18	6.4	47.3
M374	Rv+	48	2.8	60.3
M375	Smeg	18	6.6	54.7
M377	none	18	8	57.5
M377	Rv	18	6.8	97.3
M376	none	18	8.1	67.3
M374	BCG	18	5.8	62.1
M376	Rv+	4	8.3	67.7
M377	Smeg	48	9.3	52.9
M374	GC	4	3.7	16.4
M372	Rv	18	10	32.3
M377	BCG	18	7.2	59.2
M374	none	18	2.7	11.4
M375	GC	4	7.2	50.9
M374	Smeg	48	3.1	52.5
M372	Rv+	4	9.2	50.5
M375	Rv+	18	5.8	77.7
M376	Rv	48	8.9	55.8
M373	Yers	4	8.3	36.4
M377	Salm	48	9.3	42.1
M374	Rv	48	3.6	23.5
M375	Yers	4	6.8	47
M373	none	4	8	57.4
M376	Smeg	18	8.8	36.3
M372	Salm	48	9.6	66.3
M374	Smeg	18	3.5	56
M377	none	4	8.8	47
M374	Rv+	18	3.6	78.9
M374	Yers	48	6.8	31.1
M373	Rv	48	8.3	63.2
M375	Rv	48	2.9	11.9
M375	Salm	18	7	68.8
M373	BCG	4	7.6	32.6
M376	Yers	48	9	53.2
M377	GC	4	6.6	6.2
M376	Rv+	18	7.8	48
M376	BCG	4	8.4	37.3
M374	Salm	18	3.8	10.1
M373	GC	4	6.1	24.9
M372	Rv+	18	9.3	50.6
M377	Smeg	4	7.3	38.5
M374	Yers	18	3	13.4
M373	BCG	18	7.2	52.1
M375	Rv	4	7.6	49.2
M372	Yers	4	9.2	61
M373	GC	48	3.6	30.5
M375	GC	48	7.5	45.3
M375	BCG	18	4.9	39.7
M373	Rv	4	8.8	12.1
M373	Smeg	4	7.4	41.9
M376	Yers	18	6.6	24.9
M376	Yers	4	6	53.3
