time	bact_1	bact_2	up_1	down_1	up_shared	down_shared	up_2	down_2
4	Rv	Rvplus	526	175	7	0	0	0
4	Rv	GC	442	170	91	5	6	8
4	Rv	BCG	429	162	104	13	6	3
4	Rv	Smeg	294	135	239	40	134	48
4	Rv	Yers	100	29	433	146	1998	2022
4	Rv	Salm	83	27	450	148	2570	2970
4	Rvplus	GC	0	0	7	0	90	13
4	Rvplus	BCG	0	0	7	0	103	16
4	Rvplus	Smeg	0	0	7	0	366	88
4	Rvplus	Yers	0	0	7	0	2424	2168
4	Rvplus	Salm	0	0	7	0	3013	3118
4	GC	BCG	43	9	54	4	56	12
4	GC	Smeg	33	8	64	5	309	83
4	GC	Yers	16	5	81	8	2350	2160
4	GC	Salm	16	6	81	7	2939	3111
4	BCG	Smeg	22	10	88	6	285	82
4	BCG	Yers	17	4	93	12	2338	2156
4	BCG	Salm	19	7	91	9	2929	3109
4	Smeg	Yers	57	8	316	80	2115	2088
4	Smeg	Salm	49	10	324	78	2696	3040
4	Yers	Salm	200	173	2231	1995	789	1123
18	Rv	Rvplus	1655	2114	743	425	39	43
18	Rv	GC	235	250	2163	2289	408	370
18	Rv	BCG	1003	1452	1395	1087	102	54
18	Rv	Smeg	692	781	1706	1758	786	629
18	Rv	Yers	329	247	2069	2292	1628	1309
18	Rv	Salm	536	339	1862	2200	1498	1380
18	Rvplus	GC	15	16	767	452	1804	2207
18	Rvplus	BCG	44	56	738	412	759	729
18	Rvplus	Smeg	33	26	749	442	1743	1945
18	Rvplus	Yers	103	55	679	413	3018	3188
18	Rvplus	Salm	143	56	639	412	2721	3168
18	GC	BCG	1157	1560	1414	1099	83	42
18	GC	Smeg	729	739	1842	1920	650	467
18	GC	Yers	378	304	2193	2355	1504	1246
18	GC	Salm	585	380	1986	2279	1374	1301
18	BCG	Smeg	186	142	1311	999	1181	1388
18	BCG	Yers	231	96	1266	1045	2431	2556
18	BCG	Salm	327	147	1170	994	2190	2586
18	Smeg	Yers	496	370	1996	2017	1701	1584
18	Smeg	Salm	469	316	2023	2071	1337	1509
18	Yers	Salm	691	442	3006	3159	354	421
48	Rv	Rvplus	742	677	785	582	174	162
48	Rv	GC	120	170	1407	1089	609	756
48	Rv	BCG	509	542	1018	717	168	242
48	Rv	Smeg	246	176	1281	1083	1269	1425
48	Rv	Yers	469	373	1058	886	536	867
48	Rv	Salm	302	145	1225	1114	1116	1929
48	Rvplus	GC	95	39	864	705	1152	1140
48	Rvplus	BCG	201	172	758	572	428	387
48	Rvplus	Smeg	196	118	763	626	1787	1882
48	Rvplus	Yers	391	306	568	438	1026	1315
48	Rvplus	Salm	255	144	704	600	1637	2443
48	GC	BCG	889	965	1127	880	59	79
48	GC	Smeg	405	379	1611	1466	939	1042
48	GC	Yers	888	933	1128	912	466	841
48	GC	Salm	608	504	1408	1341	933	1702
48	BCG	Smeg	134	122	1052	837	1498	1671
48	BCG	Yers	405	386	781	573	813	1180
48	BCG	Salm	289	211	897	748	1444	2295
48	Smeg	Yers	1283	1299	1267	1209	327	544
48	Smeg	Salm	859	659	1691	1849	650	1194
48	Yers	Salm	155	83	1439	1670	902	1373
