id	individual	status	treatment	infection	arrival	extraction	master_mix	rin	outlier
s01-suscep-noninf	s01	suscep	noninf	2013-04-05	a1	e1	m1	10	FALSE
s01-suscep-infect	s01	suscep	infect	2013-04-05	a1	e1	m1	10	TRUE
s02-suscep-noninf	s02	suscep	noninf	2013-04-05	a2	e2	m1	9.9	FALSE
s02-suscep-infect	s02	suscep	infect	2013-04-05	a2	e2	m1	9.5	FALSE
s03-suscep-noninf	s03	suscep	noninf	2013-04-05	a3	e3	m2	9.9	FALSE
s03-suscep-infect	s03	suscep	infect	2013-04-05	a3	e3	m2	9.6	FALSE
s04-suscep-noninf	s04	suscep	noninf	2013-10-07	a4	e4	m3	7.7	TRUE
s04-suscep-infect	s04	suscep	infect	2013-10-07	a4	e4	m3	8.6	FALSE
s05-suscep-noninf	s05	suscep	noninf	2014-06-10	a4	e4	m3	8.8	FALSE
s05-suscep-infect	s05	suscep	infect	2014-06-10	a4	e4	m3	9	FALSE
s06-suscep-noninf	s06	suscep	noninf	2014-11-24	a4	e5	m2	9	FALSE
s06-suscep-infect	s06	suscep	infect	2014-11-24	a4	e5	m2	10	FALSE
r01-resist-noninf	r01	resist	noninf	2013-06-24	a1	e1	m1	10	FALSE
r01-resist-infect	r01	resist	infect	2013-06-24	a1	e1	m1	10	FALSE
r02-resist-noninf	r02	resist	noninf	2013-06-24	a1	e1	m1	8.1	TRUE
r02-resist-infect	r02	resist	infect	2013-06-24	a1	e1	m1	9.5	FALSE
r03-resist-noninf	r03	resist	noninf	2013-06-24	a1	e1	m1	9.9	FALSE
r03-resist-infect	r03	resist	infect	2013-06-24	a1	e1	m1	10	FALSE
r04-resist-noninf	r04	resist	noninf	2013-07-08	a1	e1	m1	8.9	FALSE
r04-resist-infect	r04	resist	infect	2013-07-08	a1	e1	m1	10	FALSE
r05-resist-noninf	r05	resist	noninf	2013-07-08	a2	e2	m1	9.7	FALSE
r05-resist-infect	r05	resist	infect	2013-07-08	a2	e2	m1	9.7	FALSE
r06-resist-noninf	r06	resist	noninf	2013-09-02	a2	e2	m1	9.7	TRUE
r06-resist-infect	r06	resist	infect	2013-09-02	a2	e2	m1	9.9	TRUE
r07-resist-noninf	r07	resist	noninf	2013-09-02	a2	e2	m1	9.5	FALSE
r07-resist-infect	r07	resist	infect	2013-09-02	a2	e2	m1	9	FALSE
r08-resist-noninf	r08	resist	noninf	2013-09-02	a2	e2	m1	9	FALSE
r08-resist-infect	r08	resist	infect	2013-09-02	a2	e2	m1	9	FALSE
r09-resist-noninf	r09	resist	noninf	2013-09-02	a3	e3	m2	10	FALSE
r09-resist-infect	r09	resist	infect	2013-09-02	a3	e3	m2	10	FALSE
r10-resist-noninf	r10	resist	noninf	2013-09-02	a3	e3	m2	9.5	FALSE
r10-resist-infect	r10	resist	infect	2013-09-02	a3	e3	m2	9.6	FALSE
r11-resist-noninf	r11	resist	noninf	2013-09-04	a3	e3	m2	9.4	FALSE
r11-resist-infect	r11	resist	infect	2013-09-04	a3	e3	m2	9.6	FALSE
r12-resist-noninf	r12	resist	noninf	2013-09-04	a3	e3	m2	9.7	FALSE
r12-resist-infect	r12	resist	infect	2013-09-04	a3	e3	m2	9.7	FALSE
r13-resist-noninf	r13	resist	noninf	2013-09-04	a4	e4	m3	9.2	FALSE
r13-resist-infect	r13	resist	infect	2013-09-04	a4	e4	m3	9.4	FALSE
r14-resist-noninf	r14	resist	noninf	2013-09-09	a4	e4	m3	9.6	FALSE
r14-resist-infect	r14	resist	infect	2013-09-09	a4	e4	m3	9.8	FALSE
r15-resist-noninf	r15	resist	noninf	2013-09-23	a4	e4	m3	9	FALSE
r15-resist-infect	r15	resist	infect	2013-09-23	a4	e4	m3	9.1	FALSE
r16-resist-noninf	r16	resist	noninf	2014-11-03	a4	e5	m2	10	FALSE
r16-resist-infect	r16	resist	infect	2014-11-03	a4	e5	m2	10	FALSE
r17-resist-noninf	r17	resist	noninf	2014-11-03	a4	e5	m2	9.3	FALSE
r17-resist-infect	r17	resist	infect	2014-11-03	a4	e5	m2	10	FALSE
r18-resist-noninf	r18	resist	noninf	2014-11-24	a4	e5	m2	10	FALSE
r18-resist-infect	r18	resist	infect	2014-11-24	a4	e5	m2	9.7	TRUE
r19-resist-noninf	r19	resist	noninf	2014-12-01	a4	e5	m2	10	FALSE
r19-resist-infect	r19	resist	infect	2014-12-01	a4	e5	m2	10	FALSE
